OrderDate,Region,Category,Channel,Product,Units,UnitPrice,Discount,Revenue,Profit,CustomerSatisfaction
2023-02-05,South,Books,Retail,P-035,6,292.66,0.03,1703.28,218.25,4.18
2023-02-05,West,Books,Online,P-013,6,731.7,0.08,4038.98,463.67,3.31
2023-02-05,West,Sports,Online,P-013,4,489.05,0.16,1643.21,495.16,3.4
2023-02-06,East,Books,Online,P-030,6,580.21,0.16,2924.26,302.97,4.35
2023-02-07,East,Apparel,Wholesale,P-037,6,725.91,0.2,3484.37,1034.0,4.04
2023-02-07,Central,Home,Retail,P-001,7,150.66,0.2,843.7,285.73,4.17
2023-02-07,Central,Apparel,Retail,P-038,8,340.53,0.12,2397.33,782.79,4.85
2023-02-07,North,Home,Retail,P-036,7,339.86,0.05,2260.07,421.36,3.83
2023-02-08,South,Apparel,Wholesale,P-026,6,346.22,0.34,1371.03,427.64,4.13
2023-02-08,South,Home,Online,P-001,5,678.17,0.07,24208.324620430067,2715.060275142893,
2023-02-09,West,Home,Online,P-027,10,20.94,0.26,154.96,50.96,4.62
2023-02-10,East,Electronics,Wholesale,P-009,9,422.52,0.29,2699.9,257.09,3.86
2023-02-10,South,Apparel,Online,P-014,8,263.1,0.28,1515.46,326.73,4.26
2023-02-10,West,Electronics,Online,P-026,5,204.88,0.14,880.98,338.19,3.8
2023-02-10,East,Home,Online,P-009,8,789.5,0.22,4926.48,539.27,3.01
2023-02-11,South,Sports,Online,P-029,9,269.18,0.04,2325.72,614.96,3.57
2023-02-12,South,Books,Online,P-015,3,544.65,0.17,1356.18,167.65,4.1
2023-02-12,East,Apparel,Online,P-034,2,589.23,0.25,883.84,79.1,3.83
2023-02-14,South,Apparel,Online,P-026,3,614.34,0.13,1603.43,364.57,2.86
2023-02-14,West,Apparel,Online,P-036,6,39.11,0.14,201.81,28.74,4.94
2023-02-14,South,Electronics,Online,P-029,8,482.48,0.19,3126.47,435.58,3.14
2023-02-14,North,Beauty,Online,P-017,4,203.46,0.14,699.9,180.83,3.0
2023-02-16,South,Books,Retail,P-012,10,702.56,0.34,4636.9,700.63,3.79
2023-02-17,East,Sports,Online,P-001,4,435.4,0.13,1515.19,489.53,3.14
2023-02-17,West,Electronics,Online,P-040,4,602.44,0.07,2241.08,357.96,2.75
2023-02-18,North,Electronics,Online,P-032,10,141.22,0.26,1045.03,417.82,4.58
2023-02-18,Central,Books,Online,P-003,9,524.48,0.25,3540.24,623.81,3.55
2023-02-19,East,Books,Online,P-027,11,618.37,0.14,5849.78,1399.58,3.14
2023-02-19,East,Sports,Online,P-032,1,227.82,0.1,205.04,73.88,4.29
2023-02-19,North,Home,Retail,P-039,7,427.67,0.19,2424.89,382.3,4.44
2023-02-21,Central,Beauty,Online,P-027,7,485.47,0.34,2242.87,656.1,3.79
2023-02-22,West,Books,Online,P-010,1,784.02,0.13,682.1,102.08,4.9
2023-02-22,Central,Electronics,Retail,P-032,8,632.55,0.08,4655.57,1750.07,4.12
2023-02-24,Central,Electronics,Online,P-026,7,684.19,0.28,3448.32,1270.9,
2023-02-24,West,Beauty,Retail,P-033,8,654.06,0.0,5232.48,1550.96,4.65
2023-02-25,West,Books,Retail,P-018,8,108.8,0.28,4893.271990863932,688.6651573454131,3.56
2023-02-25,East,Apparel,Retail,P-021,11,238.15,0.32,1781.36,510.26,3.58
2023-02-26,West,Books,Retail,P-039,4,483.76,0.29,1373.88,513.82,3.6
2023-02-27,Central,Beauty,Online,P-029,8,431.38,0.19,2795.34,1099.93,4.2
2023-02-27,South,Electronics,Online,P-036,4,203.53,0.33,545.46,76.37,4.98
2023-02-28,East,Home,Online,P-034,10,218.16,0.27,1592.57,447.74,3.79
2023-03-01,North,Apparel,Online,P-014,8,684.92,0.08,5041.01,1165.54,4.02
2023-03-02,East,Books,Online,P-018,2,388.46,0.07,722.54,244.33,3.36
2023-03-02,South,Electronics,Online,P-009,11,56.87,0.25,469.18,175.5,2.68
2023-03-03,South,Electronics,Retail,P-007,6,15.36,0.21,72.81,9.36,4.14
2023-03-03,South,Apparel,Retail,P-026,1,82.02,0.2,65.62,16.92,4.05
2023-03-03,West,Electronics,Retail,P-003,4,334.81,0.1,1205.32,269.65,3.78
2023-03-03,Central,Home,Online,P-009,2,48.6,0.08,89.42,14.07,4.06
2023-03-03,North,Home,Retail,P-005,6,714.44,0.2,3429.31,1012.3,2.7
2023-03-03,North,Sports,Retail,P-017,3,348.72,0.33,700.93,82.43,4.51
2023-03-04,South,Sports,Online,P-032,4,624.14,0.26,1847.45,299.89,3.59
2023-03-04,East,Electronics,Retail,P-016,3,59.68,0.17,148.6,19.78,4.42
2023-03-04,South,Apparel,Retail,P-032,1,527.75,0.34,348.31,31.84,2.9
2023-03-05,North,Beauty,Online,P-008,9,338.32,0.2,2435.9,246.38,2.59
2023-03-06,Central,Sports,Online,P-032,8,227.35,0.06,1709.67,235.5,3.22
2023-03-07,North,Home,Retail,P-005,1,370.44,0.32,251.9,61.06,
2023-03-07,West,Sports,Retail,P-031,9,345.56,0.06,2923.44,838.98,3.88
2023-03-07,South,Sports,Retail,P-018,2,369.83,0.18,606.52,215.79,4.22
2023-03-08,North,Home,Online,P-016,6,451.08,0.07,2517.03,166.74,3.65
2023-03-08,Central,Apparel,Retail,P-032,2,411.29,0.29,584.03,153.03,4.21
2023-03-08,Central,Apparel,Online,P-040,6,582.84,0.31,2412.96,475.2,2.95
2023-03-08,North,Sports,Retail,P-010,6,302.56,0.24,1379.67,483.78,2.56
2023-03-09,East,Sports,Online,P-026,9,108.31,0.14,838.32,158.77,3.31
2023-03-10,East,Books,Online,P-019,3,171.54,0.04,494.04,62.28,3.99
2023-03-10,West,Apparel,Retail,P-019,2,658.38,0.07,1224.59,366.88,2.91
2023-03-10,East,Beauty,Retail,P-006,9,687.22,0.2,4947.98,303.22,4.61
2023-03-10,Central,Apparel,Online,P-017,9,480.36,0.33,2896.57,149.34,4.89
2023-03-11,West,Home,Wholesale,P-026,6,39.39,0.29,167.8,10.09,4.36
2023-03-11,South,Home,Online,P-003,7,353.72,0.19,2005.59,475.39,2.82
2023-03-11,South,Apparel,Online,P-009,1,658.36,0.28,474.02,141.41,3.96
2023-03-11,West,Sports,Online,P-009,10,306.09,0.26,2265.07,300.98,4.23
2023-03-11,North,Beauty,Online,P-032,6,449.77,0.07,2509.72,318.98,3.98
2023-03-12,North,Beauty,Online,P-005,5,559.54,0.29,1986.37,789.55,2.95
2023-03-12,West,Apparel,Online,P-028,5,398.37,0.05,1892.26,270.98,4.77
2023-03-14,West,Apparel,Online,P-023,1,501.65,0.23,386.27,97.01,4.59
2023-03-14,East,Apparel,Online,P-039,7,773.72,0.06,5091.08,1195.47,2.69
2023-03-16,North,Apparel,Retail,P-002,4,352.98,0.34,931.87,371.53,3.07
2023-03-16,East,Books,Wholesale,P-011,6,463.67,0.11,2476.0,556.25,4.24
2023-03-16,North,Books,Online,P-028,1,768.29,0.35,499.39,37.83,3.75
2023-03-17,South,Home,Online,P-039,3,228.14,0.09,622.82,178.1,2.58
2023-03-17,South,Electronics,Online,P-008,3,97.48,0.01,289.52,105.68,4.92
2023-03-17,West,Books,Online,P-020,11,396.43,0.06,4099.09,599.29,3.25
2023-03-18,North,Home,Online,P-017,4,339.76,0.23,1046.46,401.54,4.45
2023-03-18,West,Beauty,Retail,P-040,5,380.86,0.08,1751.96,659.69,3.41
2023-03-19,North,Electronics,Wholesale,P-022,4,784.97,0.35,2040.92,224.33,4.95
2023-03-19,East,Electronics,Online,P-033,8,601.97,0.03,4671.29,600.66,3.61
2023-03-19,North,Electronics,Online,P-028,2,160.17,0.3,224.24,11.63,2.87
2023-03-19,South,Beauty,Retail,P-017,11,573.17,0.33,4224.26,1650.35,4.57
2023-03-20,East,Sports,Online,P-028,3,309.02,0.2,741.65,110.4,4.22
2023-03-20,East,Books,Retail,P-014,8,31.24,0.35,162.45,50.08,2.67
2023-03-21,West,Sports,Online,P-017,7,570.44,0.01,3953.15,1086.53,4.76
2023-03-21,North,Books,Retail,P-026,9,284.66,0.16,2152.03,649.42,3.93
2023-03-21,North,Apparel,Online,P-021,1,735.51,0.34,485.44,168.99,3.8
2023-03-22,East,Sports,Retail,P-036,4,760.54,0.23,2342.46,163.57,2.99
2023-03-23,South,Beauty,Online,P-040,11,136.98,0.01,1491.71,593.28,4.14
2023-03-23,Central,Sports,Online,P-012,8,617.37,0.29,3506.66,967.84,3.04
2023-03-23,North,Electronics,Online,P-017,10,12.75,0.06,119.85,42.16,3.38
2023-03-25,West,Home,Online,P-032,9,355.94,0.07,2979.22,833.65,3.78
2023-03-25,North,Home,Online,P-012,6,63.93,0.01,379.74,93.7,2.79
2023-03-25,Central,Books,Retail,P-040,8,47.51,0.13,330.67,109.96,3.06
2023-03-25,North,Beauty,Online,P-029,4,10.33,0.3,28.92,10.06,3.17
2023-03-25,North,Apparel,Online,P-037,10,732.73,0.2,5861.84,1710.48,3.8
2023-03-26,South,Books,Retail,P-009,2,473.78,0.17,786.47,104.24,3.32
2023-03-26,West,Books,Retail,P-017,1,447.16,0.04,429.27,130.4,3.58
2023-03-26,Central,Beauty,Online,P-014,9,696.67,0.26,4639.82,1471.11,2.9
2023-03-27,East,Home,Retail,P-011,4,317.66,0.05,1207.11,400.33,4.7
2023-03-28,East,Sports,Retail,P-016,3,359.16,0.05,1023.61,78.72,4.99
2023-03-28,South,Books,Online,P-017,6,762.11,0.25,3429.5,476.39,4.5
2023-03-28,East,Sports,Online,P-016,1,442.87,0.26,327.72,91.8,2.94
2023-03-28,Central,Electronics,Online,P-014,8,127.48,0.29,724.09,98.37,4.96
2023-03-29,East,Sports,Online,P-036,8,112.15,0.32,610.1,109.78,
2023-03-29,West,Books,Retail,P-035,6,77.33,0.17,385.1,27.33,2.87
2023-03-29,East,Books,Retail,P-034,8,703.56,0.05,5347.06,301.37,2.62
2023-03-29,South,Sports,Wholesale,P-005,4,686.09,0.07,2552.25,563.26,3.0
2023-03-29,East,Home,Retail,P-013,1,621.38,0.01,615.17,38.39,4.06
2023-03-29,East,Sports,Retail,P-026,3,240.43,0.23,555.39,164.9,4.93
2023-03-30,East,Apparel,Retail,P-007,3,170.28,0.02,500.62,154.14,4.39
2023-03-31,East,Sports,Wholesale,P-040,2,497.41,0.14,855.55,240.66,4.23
2023-03-31,West,Sports,Online,P-012,9,58.07,0.18,428.56,54.98,3.12
2023-03-31,South,Apparel,Retail,P-030,10,703.15,0.13,6117.4,1407.73,4.13
2023-04-01,West,Books,Retail,P-024,2,316.94,0.11,564.15,137.91,4.72
2023-04-01,West,Beauty,Retail,P-003,2,504.52,0.12,887.96,99.45,4.12
2023-04-02,North,Apparel,Online,P-015,1,286.61,0.14,246.48,33.87,2.97
2023-04-03,East,Electronics,Online,P-034,9,366.51,0.28,2374.98,502.42,2.67
2023-04-04,South,Books,Online,P-007,5,361.28,0.07,1679.95,658.87,4.6
2023-04-04,South,Books,Online,P-011,4,713.23,0.24,2168.22,338.96,4.61
2023-04-04,North,Sports,Wholesale,P-036,8,336.79,0.27,1966.85,151.0,3.72
2023-04-04,North,Electronics,Online,P-031,5,660.4,0.24,2509.52,469.72,2.58
2023-04-05,West,Apparel,Online,P-007,4,312.28,0.3,874.38,138.19,4.06
2023-04-05,West,Beauty,Retail,P-027,9,154.56,0.13,1210.2,347.21,4.42
2023-04-05,South,Books,Online,P-003,4,372.2,0.11,1325.03,208.64,4.48
2023-04-06,North,Sports,Online,P-014,9,734.16,0.06,6210.99,1298.6,3.51
2023-04-07,North,Books,Online,P-004,2,757.96,0.31,1045.98,404.45,3.03
2023-04-07,Central,Electronics,Retail,P-014,8,677.37,0.14,4660.31,1653.32,2.91
2023-04-07,Central,Beauty,Online,P-008,8,672.0,0.24,4085.76,1213.19,3.83
2023-04-08,West,Home,Online,P-035,10,574.3,0.24,4364.68,586.5,4.25
2023-04-09,South,Home,Online,P-009,1,136.29,0.25,102.22,19.14,2.93
2023-04-09,Central,Home,Online,P-021,10,121.59,0.33,814.65,228.72,4.5
2023-04-10,Central,Beauty,Online,P-029,6,235.19,0.05,1340.58,524.83,2.6
2023-04-10,East,Sports,Online,P-009,6,397.01,0.02,2334.42,552.85,3.0
2023-04-11,East,Sports,Online,P-036,5,711.29,0.26,2631.77,157.18,3.44
2023-04-12,East,Apparel,Online,P-035,9,48.21,0.28,312.4,75.19,3.79
2023-04-12,Central,Apparel,Retail,P-033,7,320.92,0.11,1999.33,610.91,3.07
2023-04-13,Central,Sports,Online,P-012,2,120.29,0.21,190.06,74.04,2.68
2023-04-13,East,Apparel,Retail,P-012,7,515.66,0.18,2959.89,454.02,4.71
2023-04-13,West,Books,Retail,P-001,3,114.13,0.24,260.22,64.71,2.86
2023-04-13,West,Sports,Online,P-006,5,80.21,0.24,304.8,64.89,4.09
2023-04-13,South,Electronics,Wholesale,P-024,2,220.91,0.25,331.36,100.59,2.59
2023-04-13,West,Books,Retail,P-013,1,593.69,0.09,540.26,31.79,4.41
2023-04-13,North,Sports,Retail,P-029,10,657.6,0.26,4866.24,1424.37,4.44
2023-04-14,East,Sports,Online,P-019,8,215.87,0.27,1260.68,318.87,3.98
2023-04-14,West,Beauty,Online,P-010,9,269.22,0.22,1889.92,423.21,3.25
2023-04-14,East,Beauty,Online,P-018,8,328.41,0.28,1891.64,128.6,3.86
2023-04-15,South,Beauty,Online,P-030,3,779.27,0.2,1870.25,558.77,4.53
2023-04-16,North,Electronics,Online,P-021,4,30.85,0.26,91.32,7.21,3.2
2023-04-16,South,Books,Retail,P-014,8,736.62,0.32,17015.044896906664,1644.0490444492896,4.54
2023-04-16,North,Apparel,Wholesale,P-007,7,411.89,0.34,1902.93,122.29,2.51
2023-04-16,West,Sports,Online,P-035,10,225.94,0.3,1581.58,529.02,4.28
2023-04-16,North,Sports,Online,P-015,2,174.92,0.29,248.39,23.43,3.64
2023-04-17,South,Home,Retail,P-021,2,364.45,0.09,663.3,178.85,3.14
2023-04-18,East,Electronics,Online,P-023,11,453.36,0.1,4488.26,1233.58,3.18
2023-04-18,Central,Home,Online,P-023,7,224.08,0.05,1490.13,539.59,4.83
2023-04-19,East,Electronics,Retail,P-002,2,455.14,0.28,655.4,95.34,2.7
2023-04-19,East,Electronics,Wholesale,P-003,6,382.91,0.13,1998.79,243.05,3.9
2023-04-20,West,Home,Online,P-017,7,59.22,0.35,269.45,89.54,4.93
2023-04-21,Central,Apparel,Retail,P-035,8,479.04,0.03,3717.35,1384.84,3.07
2023-04-21,North,Beauty,Retail,P-029,8,269.26,0.07,2003.29,789.42,4.68
2023-04-21,South,Books,Online,P-011,8,407.29,0.19,2639.24,1031.82,5.0
2023-04-22,South,Apparel,Online,P-010,4,426.97,0.23,1315.07,111.7,4.42
2023-04-22,West,Home,Online,P-016,11,169.3,0.23,1433.97,78.19,2.96
2023-04-23,South,Beauty,Online,P-036,3,770.25,0.18,1894.82,407.29,4.41
2023-04-23,West,Beauty,Online,P-005,2,291.87,0.32,396.94,83.71,2.54
2023-04-23,Central,Apparel,Retail,P-023,3,145.59,0.3,305.74,53.26,2.79
2023-04-23,West,Home,Retail,P-004,11,161.57,0.04,1706.18,123.09,4.84
2023-04-23,North,Beauty,Online,P-010,2,460.68,0.11,820.01,326.55,3.57
2023-04-24,West,Home,Online,P-003,2,643.44,0.11,1145.32,195.91,4.86
2023-04-24,South,Home,Online,P-022,7,566.66,0.2,3173.3,1227.45,3.54
2023-04-24,Central,Electronics,Retail,P-007,6,20.81,0.08,114.87,13.82,3.64
2023-04-25,North,Home,Retail,P-023,7,185.13,0.22,1010.81,345.88,3.65
2023-04-26,East,Home,Online,P-024,2,725.38,0.15,1233.15,184.47,2.6
2023-04-26,West,Books,Online,P-021,1,556.62,0.02,545.49,52.71,3.21
2023-04-28,South,Books,Retail,P-018,1,408.69,0.24,310.6,110.38,2.96
2023-04-28,South,Electronics,Retail,P-008,7,462.44,0.06,3042.86,277.19,4.9
2023-04-28,Central,Books,Online,P-026,10,293.76,0.34,1938.82,433.09,2.94
2023-04-29,North,Beauty,Retail,P-037,6,218.81,0.1,1181.57,112.28,3.31
2023-04-30,North,Books,Online,P-008,9,374.83,0.18,2766.25,860.16,3.81
2023-05-01,South,Beauty,Online,P-011,11,793.98,0.13,7598.39,2079.4,3.58
2023-05-01,South,Books,Online,P-009,3,12.27,0.25,27.61,10.56,2.96
2023-05-01,North,Beauty,Online,P-027,11,554.16,0.25,4571.82,264.98,3.07
2023-05-01,North,Books,Online,P-030,6,368.12,0.33,1479.84,131.45,4.43
2023-05-02,South,Apparel,Retail,P-026,11,207.12,0.18,1868.22,225.05,4.7
2023-05-02,Central,Beauty,Retail,P-002,8,578.37,0.17,3840.38,1194.81,2.59
2023-05-02,East,Beauty,Retail,P-036,9,794.84,0.09,6509.74,724.25,4.44
2023-05-02,North,Electronics,Online,P-040,2,373.56,0.13,649.99,60.85,4.17
2023-05-03,Central,Beauty,Retail,P-015,5,783.59,0.09,3565.33,1398.55,4.35
2023-05-04,North,Sports,Online,P-026,4,185.93,0.14,639.6,63.52,3.43
2023-05-05,West,Home,Retail,P-010,1,575.24,0.05,546.48,81.42,3.8
2023-05-05,South,Beauty,Retail,P-001,8,447.55,0.0,3580.4,561.0,4.25
2023-05-05,East,Beauty,Retail,P-011,3,119.34,0.33,239.87,21.48,3.27
2023-05-06,Central,Sports,Retail,P-030,1,106.69,0.21,84.29,12.47,2.84
2023-05-07,West,Sports,Retail,P-040,9,648.68,0.25,4378.59,1426.07,2.63
2023-05-07,West,Beauty,Online,P-012,5,190.86,0.01,944.76,295.68,4.33
2023-05-08,North,Beauty,Retail,P-034,7,24.23,0.34,111.94,19.01,4.9
2023-05-08,South,Books,Online,P-016,3,419.21,0.16,1056.41,246.54,4.38
2023-05-08,West,Home,Retail,P-008,7,390.93,0.12,2408.13,450.76,2.87
2023-05-09,North,Beauty,Wholesale,P-024,3,44.74,0.13,116.77,41.91,4.32
2023-05-10,East,Apparel,Online,P-034,6,438.25,0.33,1761.76,217.53,3.85
2023-05-10,South,Books,Online,P-032,10,523.09,0.06,4917.05,571.87,4.13
2023-05-10,West,Home,Online,P-008,6,272.63,0.14,1406.77,248.07,2.54
2023-05-10,North,Books,Online,P-013,10,352.66,0.05,3350.27,625.19,3.24
2023-05-11,West,Books,Retail,P-027,3,504.56,0.32,1029.3,355.83,4.8
2023-05-12,North,Electronics,Wholesale,P-026,6,668.26,0.3,2806.69,377.75,4.34
2023-05-12,Central,Electronics,Retail,P-002,11,400.93,0.08,4057.41,1194.67,4.74
2023-05-13,North,Books,Online,P-040,10,756.0,0.26,5594.4,1504.2,3.58
2023-05-13,Central,Electronics,Online,P-023,9,45.37,0.15,347.08,51.92,2.69
2023-05-13,West,Electronics,Online,P-036,1,763.63,0.03,740.72,181.23,4.36
2023-05-14,East,Home,Online,P-010,5,486.2,0.18,1993.42,542.01,3.14
2023-05-14,East,Books,Online,P-032,4,115.01,0.16,386.43,142.21,4.51
2023-05-14,Central,Sports,Retail,P-029,10,636.05,0.09,5788.06,1595.66,2.68
2023-05-16,Central,Books,Wholesale,P-018,3,521.83,0.1,1408.94,379.34,3.24
2023-05-17,Central,Beauty,Retail,P-029,2,258.12,0.27,376.86,70.49,3.98
2023-05-17,East,Books,Retail,P-006,6,285.92,0.31,1183.71,60.44,4.99
2023-05-18,North,Sports,Online,P-012,4,349.22,0.32,949.88,281.85,2.58
2023-05-19,East,Electronics,Wholesale,P-004,2,49.77,0.33,66.69,10.84,4.84
2023-05-20,West,Home,Wholesale,P-038,6,778.72,0.24,3550.96,1087.76,3.38
2023-05-21,Central,Beauty,Retail,P-040,10,218.82,0.2,1750.56,561.61,2.8
2023-05-21,Central,Books,Retail,P-003,10,546.5,0.22,4262.7,699.7,3.35
2023-05-21,South,Sports,Online,P-035,8,45.12,0.33,241.84,14.78,4.84
2023-05-22,East,Books,Retail,P-029,9,647.16,0.04,5591.46,300.14,3.55
2023-05-23,East,Home,Retail,P-011,4,739.16,0.29,2099.21,429.87,3.07
2023-05-23,South,Electronics,Online,P-023,9,440.58,0.23,3053.22,773.66,4.93
2023-05-24,West,Books,Online,P-021,6,132.85,0.03,773.19,272.29,3.76
2023-05-24,North,Apparel,Online,P-037,1,726.49,0.14,624.78,112.04,4.43
2023-05-25,East,Books,Online,P-037,8,512.58,0.04,3936.61,845.85,4.9
2023-05-26,West,Electronics,Online,P-025,2,27.79,0.07,51.69,16.72,2.97
2023-05-26,North,Beauty,Online,P-003,7,166.24,0.34,768.03,178.24,4.73
2023-05-27,North,Home,Online,P-008,4,509.74,0.3,1427.27,398.97,4.47
2023-05-28,North,Apparel,Online,P-001,5,628.44,0.22,2450.92,719.6,3.11
2023-05-28,Central,Beauty,Retail,P-012,5,681.17,0.08,3133.38,1072.12,2.74
2023-05-28,East,Beauty,Online,P-028,1,129.23,0.26,95.63,24.15,4.99
2023-05-28,East,Apparel,Wholesale,P-016,3,660.46,0.21,1565.29,450.61,4.88
2023-05-28,Central,Apparel,Online,P-034,2,538.87,0.2,862.19,92.31,3.05
2023-05-28,Central,Electronics,Retail,P-013,1,125.29,0.14,107.75,31.31,4.75
2023-05-28,East,Sports,Online,P-007,1,458.13,0.19,371.09,125.16,3.43
2023-06-01,North,Electronics,Online,P-008,1,374.08,0.02,366.6,125.46,3.64
2023-06-02,East,Sports,Retail,P-008,9,181.47,0.33,1094.26,402.18,3.48
2023-06-02,East,Home,Online,P-016,1,87.64,0.31,60.47,4.65,3.3
2023-06-06,Central,Electronics,Online,P-013,1,133.8,0.32,90.98,34.61,4.38
